pattern,example_count,min_len,sequences
12201001,4,2,"(1,5,2) (3,8,4)"
12201010,4,2,"(1,5,2) (3,7,4)"
12201100,4,2,"(1,5,2) (3,6,4)"
12210111,2,3,"(1,2,6) (3,4,7) (2,8,3)"
12211011,2,3,"(1,2,5) (3,4,7) (2,8,3)"
12211101,2,3,"(1,2,5) (3,4,6) (2,8,3)"
12211110,2,3,"(1,2,5) (3,4,6) (2,7,1)"
12220011,3,2,"(1,7,2) (3,4,8)"
12220101,3,2,"(1,6,2) (3,4,8)"
12220110,3,2,"(1,6,2) (3,4,7)"
12221001,3,2,"(1,5,2) (3,4,8)"
12221010,3,2,"(1,5,2) (3,4,7)"
12221100,3,2,"(1,5,2) (3,4,6)"
13330111,2,3,"(1,2,6) (3,4,7) (2,8,3)"
13331011,2,3,"(1,2,5) (3,4,7) (2,8,3)"
13331101,2,3,"(1,2,5) (3,4,6) (2,8,3)"
13331110,2,3,"(1,2,5) (3,4,6) (2,7,1)"
20020001,7,1,"(1,8,2)"
20020010,7,1,"(1,7,2)"
20020100,7,1,"(1,6,2)"
20021000,7,1,"(1,5,2)"
20120011,4,2,"(1,7,2) (3,8,4)"
20120101,4,2,"(1,6,2) (3,8,4)"
20120110,4,2,"(1,6,2) (3,7,4)"
20121001,4,2,"(1,5,2) (3,8,4)"
20121010,4,2,"(1,5,2) (3,7,4)"
20121100,4,2,"(1,5,2) (3,6,4)"
20200001,7,1,"(1,8,2)"
20200010,7,1,"(1,7,2)"
20200100,7,1,"(1,6,2)"
20201000,7,1,"(1,5,2)"
20210011,4,2,"(1,7,2) (3,4,8)"
20210101,4,2,"(1,6,2) (3,4,8)"
20210110,4,2,"(1,6,2) (3,4,7)"
20211001,4,2,"(1,5,2) (3,4,8)"
20211010,4,2,"(1,5,2) (3,4,7)"
20211100,4,2,"(1,5,2) (3,4,6)"
20220001,4,1,"(1,8,2)"
20220010,4,1,"(1,7,2)"
20220100,4,1,"(1,6,2)"
20221000,4,1,"(1,5,2)"
21020011,4,2,"(1,2,7) (3,4,8)"
21020101,4,2,"(1,2,6) (3,4,8)"
21020110,4,2,"(1,2,6) (3,4,7)"
