2,5,16  algorithm: [R 2U2 R',3B]
2,5,17  algorithm: [3R' U 3R,2U]
2,5,18  algorithm: [2U B' 2U',3B]
2,5,19  algorithm: [2U B2 2U',3B]
2,5,20  algorithm: [2U B 2U',3B]
2,5,21  algorithm: [L 2F L',3B]
2,5,22  algorithm: [D' 3B' D,2R2]
2,5,23  algorithm: [L' 2B' L,3B]
2,5,24  algorithm: U' [U' 2L2 U,3B] U
2,6,7  algorithm: [L',3U' 2R' 3U]
2,6,8  algorithm: [3D' 2R 3D, L2]
2,6,9  algorithm: U' [2B L2 2B',3L'] U
2,6,10  algorithm: [3B L' 3B',2R]
2,6,11  algorithm: L' [2U' F2 2U,3B] L
2,6,12  algorithm: L' [2U' F 2U,3B] L
2,6,13  algorithm: L' [3F' U2 3F,2U2] L
2,6,14  algorithm: [2B U' 2B',3U2]
2,6,15  algorithm: [U 2F U',3B]
2,6,16  algorithm: [R' 3B' R,2F2]
2,6,17  algorithm: L' [3R' U 3R,2U] L
2,6,18  algorithm: [2L U2 2L',3U]
2,6,19  algorithm: U' [2B L2 2B',3L] U
2,6,20  algorithm: [3B L' 3B',2R']
2,6,21  algorithm: [U' 3L2 U,2F']
2,6,22  algorithm: [3B L' 3B',2R2]
2,6,23  algorithm: L' [L' 2B' L,3B] L
2,6,24  algorithm: [U 2F U',3B2]
2,7,8  algorithm: [L',3F' 2R2 3F]
2,7,9  algorithm: U' [2B L 2B',3L'] U
2,7,10  algorithm: [3B L2 3B',2R]
2,7,11  algorithm: [3R U 3R',2D]
2,7,12  algorithm: L2 [2U' F 2U,3B] L2
2,7,13  algorithm: U' [R 2B' R',3F2] U
2,7,14  algorithm: U' [U' 3F U,2B] U
2,7,15  algorithm: [L' 3B' L,2D2]
2,7,16  algorithm: L2 [R 2U2 R',3B] L2
2,7,17  algorithm: L2 [3R' U 3R,2U] L2
2,7,18  algorithm: L2 [2U B' 2U',3B] L2
2,7,19  algorithm: [3L U' 3L',2D']
